ObservationDate,Country/Region,Deaths
01/01/2021,Afghanistan,0.0
01/01/2021,Nepal,1.0
01/01/2021,Netherlands,2.0
01/01/2021,New Zealand,3.0
01/01/2021,Nicaragua,4.0
01/01/2021,Niger,5.0
01/01/2021,Nigeria,6.0
01/01/2021,North Macedonia,7.0
01/01/2021,Norway,8.0
01/01/2021,Oman,9.0
01/01/2021,Namibia,10.0
01/01/2021,Pakistan,11.0
01/01/2021,Papua New Guinea,12.0
01/01/2021,Paraguay,13.0
01/01/2021,Peru,14.0
01/01/2021,Philippines,15.0
01/01/2021,Poland,16.0
01/01/2021,Portugal,17.0
01/01/2021,Qatar,18.0
01/01/2021,Romania,19.0
01/01/2021,Russia,20.0
01/01/2021,Panama,21.0
01/01/2021,Mozambique,22.0
01/01/2021,Morocco,23.0
01/01/2021,Montenegro,24.0
01/01/2021,Liberia,25.0
01/01/2021,Libya,26.0
01/01/2021,Liechtenstein,27.0
01/01/2021,Lithuania,28.0
01/01/2021,Luxembourg,29.0
01/01/2021,MS Zaandam,30.0
01/01/2021,Macau,31.0
01/01/2021,Madagascar,32.0
01/01/2021,Mainland China,33.0
01/01/2021,Malawi,34.0
01/01/2021,Malaysia,35.0
01/01/2021,Maldives,36.0
01/01/2021,Mali,37.0
01/01/2021,Malta,38.0
01/01/2021,Marshall Islands,39.0
01/01/2021,Mauritania,40.0
01/01/2021,Mauritius,41.0
01/01/2021,Mexico,42.0
01/01/2021,Moldova,43.0
01/01/2021,Monaco,44.0
01/01/2021,Mongolia,45.0
01/01/2021,Saint Kitts and Nevis,46.0
01/01/2021,Lesotho,47.0
01/01/2021,Saint Lucia,48.0
01/01/2021,Samoa,49.0
01/01/2021,Thailand,50.0
01/01/2021,Timor-Leste,51.0
01/01/2021,Togo,52.0
01/01/2021,Trinidad and Tobago,53.0
01/01/2021,Tunisia,54.0
01/01/2021,Turkey,55.0
01/01/2021,UK,56.0
01/01/2021,US,57.0
01/01/2021,Uganda,58.0
01/01/2021,Tanzania,59.0
01/01/2021,Ukraine,60.0
01/01/2021,Uruguay,61.0
01/01/2021,Uzbekistan,62.0
01/01/2021,Vanuatu,63.0
01/01/2021,Venezuela,64.0
01/01/2021,Vietnam,65.0
01/01/2021,West Bank and Gaza,66.0
01/01/2021,Yemen,67.0
01/01/2021,Zambia,68.0
01/01/2021,Zimbabwe,69.0
01/01/2021,United Arab Emirates,70.0
01/01/2021,Tajikistan,71.0
01/01/2021,Taiwan,72.0
01/01/2021,Syria,73.0
01/01/2021,San Marino,74.0
01/01/2021,Sao Tome and Principe,75.0
01/01/2021,Saudi Arabia,76.0
01/01/2021,Senegal,77.0
01/01/2021,Serbia,78.0
01/01/2021,Seychelles,79.0
01/01/2021,Sierra Leone,80.0
01/01/2021,Singapore,81.0
01/01/2021,Slovakia,82.0
01/01/2021,Slovenia,83.0
01/01/2021,Solomon Islands,84.0
01/01/2021,Somalia,85.0
01/01/2021,South Africa,86.0
01/01/2021,South Korea,87.0
01/01/2021,South Sudan,88.0
01/01/2021,Spain,89.0
01/01/2021,Sri Lanka,90.0
01/01/2021,Sudan,91.0
01/01/2021,Suriname,92.0
01/01/2021,Sweden,93.0
01/01/2021,Switzerland,94.0
01/01/2021,Saint Vincent and the Grenadines,95.0
01/01/2021,Lebanon,96.0
01/01/2021,Rwanda,97.0
01/01/2021,Laos,98.0
01/01/2021,Burkina Faso,99.0
01/01/2021,Burma,100.0
01/01/2021,Burundi,101.0
01/01/2021,Cabo Verde,102.0
01/01/2021,Cambodia,103.0
01/01/2021,Cameroon,104.0
01/01/2021,Canada,105.0
01/01/2021,Central African Republic,106.0
01/01/2021,Chad,107.0
01/01/2021,Bulgaria,108.0
01/01/2021,Chile,109.0
01/01/2021,Comoros,110.0
01/01/2021,Congo (Brazzaville),111.0
01/01/2021,Congo (Kinshasa),112.0
01/01/2021,Costa Rica,113.0
01/01/2021,Croatia,114.0
01/01/2021,Cuba,115.0
01/01/2021,Cyprus,116.0
01/01/2021,Czech Republic,117.0
01/01/2021,Denmark,118.0
01/01/2021,Colombia,119.0
01/01/2021,Brunei,120.0
01/01/2021,Brazil,121.0
01/01/2021,Botswana,122.0
01/01/2021,Latvia,123.0
01/01/2021,Algeria,124.0
01/01/2021,Andorra,125.0
01/01/2021,Angola,126.0
01/01/2021,Antigua and Barbuda,127.0
01/01/2021,Argentina,128.0
01/01/2021,Armenia,129.0
01/01/2021,Australia,130.0
01/01/2021,Austria,131.0
01/01/2021,Azerbaijan,132.0
01/01/2021,Bahamas,133.0
01/01/2021,Bahrain,134.0
